Column1;Column2
kolsъ;kłos
kolti;kłuć
koltiti;kłócić
koltъ;kłota
kolъ;kół
komarъ;komar
komaxa;komasy
komoňь;komonik
komъ;kom
konьcь;koniec
konьčьnъ;konieczny
konьnica;konnica
konьnъ;konny
koňь;koń
konopь;konop
konotopъ;konotop
kopa;kopa
kopanь;kopań
kopati;kopać
kopiti;kopić
kopьje;kopia
kopriva;pokrzywa
koprъ;koper
kopъtь;kopeć
kopyto;kopyto
kopytъnikъ;kopytnik
kora;kora
korabľь;korab
korbъ;kroba
korda;króda
korgujь;krogulec
koristь;korzyść
koriti;korzyć
korьcь;korzec
korkъ;krok
korľь;król
korsta;krosta
korstělь;chruściel
kortъ;kroć
kortъkъ;krótki
korva;krowa
kory;korzeń
koryto;koryto
kosa;kosa
kosatъ;kosaty
kositi;kosić
kosmъ;kosm
kostь;kość
kosъ;kos
košь;kosz
košuľa;koszula
kotiti;kocić
kotьcь;kojec
kotьlikъ;kotlik
kotьlъ;kocioł
kotorъ;który
kotъ;kot
kotъka;kotka
koty;kotwica
kovaľь;kowal
kovati;kować
koxati;kochać
koza;koza
kozьlъ;kozioł
koža;koża
kǫda;kędy
kǫdělь;kądziel
kǫdrь;kędzior
kǫkoľь;kąkol
kǫpati;kąpać
kǫpělь;kąpiel
kǫpina;kępina
kǫsati;kąsać
kǫsъ;kusy
kǫtъ;kąt
kǫťa;kuczka
krajina;kraina
krajь;kraj
krakati;krakać
krasa;krasa
krasiti;krasić
krasьnъ;krasny
krasti;kraść
kremy;krzemień
kresidlo;krzesidło
krěpiti;krzepić
krěpъkъ;krzepki
krěslo;krzesło
krěxъkъ;krzechki
krękъ;skrzek
krętati;krzątać
kričati;krzyczeć
kridlo;skrzydło
krikъ;krzyk
krivьda;krzywda
krivъ;krzywy
krьstiti;chrzcić
krьstъ;chrzest
krojiti;kroić
kroma;kroma
kropiti;kropić
krosno;krosno
krošňa;krosznia
krotiti;krócić
krotъkъ;krotki
krǫglъ;krągły
krǫgъ;krąg
krǫpъ;krępawy
krǫtiti;kręcić
krǫtъ;kręty
krǫžiti;krążyć
krukъ;kruk
krupa;krupy
krupьnъ;krupny
kruša;grusza
krušiti;kruszyć
kruxъ;kruch
krъšiti;krszyć
krъtъ;kret
krъvavъ;krwawy
krъvьnъ;krewny
krъxa;krech
kry;krew
kryti;kryć
kucъ;kuc
kuča;kusza
kuditi;kudzić
kudo;kudyś
kukati;kukać
kulikъ;kulik
kuna;kuna
kupiti;kupić
kuprъ;kuper
kura;kura
kurica;kurzyca
kuriti;kurzyć
kurьcь;kurzec
kuropъty;kuropatwa
kurъ;kur
kury;kurwa
kusiti;kusić
kušati;kuszać
kuznь;kuźnia
kъde;gdzie
kъduňa;gdula
kъjь;ki
kъlbasa;kiełbasa
kъlbь;kiełb
kъlpь;kiełp
kъlъ;kieł
kъn;ku
kъnędzь;ksiądz
kъňiga;księga
kъrčiti;kurczyć
kъrčьma;karczma
kъrčьmařь;karczmarz
kъrdo;kierda
kъrkъ;kark
kъrma;karma
kъrmiti;karmić
kъrnъ;kierny
kъrsъ;chaśny
kъrtiti;karcić
kъrzьno;kuśnierz
kъřь;kierz
kъto;kto
kvasъ;kwas
květъ;kwiat
kviliti;kwilić
kvisti;kwiść
kydati;kidać
kydnǫti;kinąć
kyjь;kij
kyla;kiła
kypěti;kipieć
kysati;kisać
kysělъ;kisiały
kyslъ;kisły
kysnǫti;kisnąć
kystь;kiść
kyšьka;kiszka
kyta;kita
kyvati;kiwać
kyxati;kichać
lada;łada
ladъ;ład
lajati;łajać
lasica;łasica
laska;łaska
laskati;głaskać
lasъ;łasy
lava;ława
laziti;łazić
lazivo;łaziwo
ledъ;lód
lemešь;lemiesz
letěti;lecieć
leťi;lec
ležati;leżeć
lěkъ;lek
lěnivъ;leniwy
lěnь;leń
lěnъ;leny
lěpidlo;lepidło
lěpiti;lepić
lěpъ;lep
lěska;laska
lěsъ;las
lěto;lato
lěvъ;lewy
lěxa;lecha
lězti;leźć
lęděninъ;lędzianie
lędo;lędo
lędvьje;lędźwie
lękati;lękać
lice;lico
ličiti;liczyć
lijь;lej
likъ;lik
liňati;linić
linǫti;lunąć
linъ;lin
lipa;lipa
lipъkъ;lipki
lisica;lisica
listъ;liść
lisъ;liszka
lišajь;liszaj
lišiti;liszyć
lišьka;liszka
liti;lać
lixъ;lichy
lixva;lichwa
lizati;lizać
lьgъkъ;lekki
lьnǫti;lgnąć
lьnъ;len
lьstь;leść
lьvъ;lew
loboda;łoboda
lobozgъ;łobozg
lojь;łój
lokati;łokać
lomiti;łomić
lomъ;łom
lono;łono
lopata;łopata
lopěnъ;łopian
lososь;łosoś
loťika;łoczyga
loviti;łowić
lovitva;łowitwa
lovьcь;łowiec
lovъ;łów
loza;łoza
lože;łoże
ložiti;łożyć
ložьmъ;łóżma
lǫčiti;łączyć
lǫčьje;łącze
lǫgъ;łęg
lǫka;łąka
lǫkъ;łęk
lubъ;łub
lučiti;łuczyć
lučь;łucz
luditi;łudzić
lukъ;łuk
luna;łun
lupiti;łupić
luska;łuska
luskati;łuskać
luskъ;łusk
luščiti;łuszczyć
luža;łuża
lъbъ;łeb
lъgati;łgać
lъskъ;łysk
lъžь;łeż
lyko;łyko
lysъ;łysy
lysъka;łyska
lyžьka;łyżka
ľubiti;lubić
ľubъ;luby
ľudьje;ludzie
ľudъ;lud
ľutъ;luty
makъ;mak
malina;malina
malъ;mały
mamiti;mamić
mana;man
marěna;marzanna
maslěnъ;maślany
maslo;masło
mastь;maść
mati;mać
maťexa;macoch
maxati;machać
mazati;mazać
mazь;maź
medovina;miodowina
medъ;miód
medvědь;niedźwiedź
meďa;miedza
meďu;między
melivo;mieliwo
melko;mleko
melti;mleć
meltva;młóćba
melzivo;młodziwo
